open_time,close_time,open,high,low,close,volume,quote_asset_volume,num_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,open_timestamp,close_timestamp
2023-04-01 14:00:00,2023-04-02 01:59:59.999,1824.04000000,1827.13000000,1807.81000000,1821.04000000,113082.47190000,205762584.86733800,210266,56055.81670000,101994153.45020900,0,1680350400000,1680393599999
2023-04-01 02:00:00,2023-04-01 13:59:59.999,1821.52000000,1842.83000000,1812.12000000,1824.04000000,146868.24870000,268093369.08875100,334041,75913.03650000,138576300.71185300,0,1680307200000,1680350399999
2023-03-31 14:00:00,2023-04-01 01:59:59.999,1792.90000000,1847.28000000,1790.56000000,1821.52000000,349722.60370000,638705533.48180100,517664,186502.00020000,340596463.96697300,0,1680264000000,1680307199999
2023-03-31 02:00:00,2023-03-31 13:59:59.999,1793.60000000,1817.99000000,1777.91000000,1792.89000000,204802.87250000,368191403.54345300,385292,102687.75480000,184640698.97515400,0,1680220800000,1680263999999
2023-03-30 14:00:00,2023-03-31 01:59:59.999,1804.62000000,1805.88000000,1763.00000000,1793.61000000,258344.62580000,461704266.00246800,391886,132896.92790000,237511961.28978800,0,1680177600000,1680220799999
2023-03-30 02:00:00,2023-03-30 13:59:59.999,1793.06000000,1829.69000000,1766.50000000,1804.62000000,321345.41360000,577693117.77793200,484598,166928.72820000,300128896.33783400,0,1680134400000,1680177599999
2023-03-29 14:00:00,2023-03-30 01:59:59.999,1811.23000000,1816.42000000,1782.71000000,1793.07000000,223234.35030000,402187032.96936300,351423,115429.27550000,207972603.10992800,0,1680091200000,1680134399999
2023-03-29 02:00:00,2023-03-29 13:59:59.999,1773.00000000,1827.99000000,1772.48000000,1811.22000000,313631.24690000,565155278.11287100,459077,168517.27040000,303635319.20175500,0,1680048000000,1680091199999
2023-03-28 14:00:00,2023-03-29 01:59:59.999,1745.48000000,1795.73000000,1727.35000000,1772.99000000,322270.56840000,566518718.97219000,451220,174190.71840000,306255360.04984900,0,1680004800000,1680047999999
2023-03-28 02:00:00,2023-03-28 13:59:59.999,1715.21000000,1754.48000000,1701.13000000,1745.48000000,214240.82890000,368988665.17748800,315667,112186.49800000,193220736.77450800,0,1679961600000,1680004799999
2023-03-27 14:00:00,2023-03-28 01:59:59.999,1765.42000000,1769.33000000,1686.13000000,1715.22000000,417220.15100000,717006138.54047300,536221,199836.92810000,343398541.86638000,0,1679918400000,1679961599999
2023-03-27 02:00:00,2023-03-27 13:59:59.999,1773.88000000,1780.48000000,1746.57000000,1765.42000000,153343.35130000,270191831.67936700,274032,74791.50210000,131777361.84384400,0,1679875200000,1679918399999
2023-03-26 14:00:00,2023-03-27 01:59:59.999,1777.77000000,1801.00000000,1753.02000000,1773.88000000,209648.39390000,371638465.25990500,336967,106715.53510000,189146872.40773000,0,1679832000000,1679875199999
2023-03-26 01:00:00,2023-03-26 13:59:59.999,1741.88000000,1787.64000000,1739.31000000,1777.76000000,145284.84330000,256022023.01276500,255651,71802.73180000,126545019.91152400,0,1679788800000,1679831999999
2023-03-25 13:00:00,2023-03-26 00:59:59.999,1745.24000000,1763.23000000,1713.09000000,1741.88000000,205617.71150000,357725852.27318900,361081,98924.55700000,172141685.95961100,0,1679745600000,1679788799999
2023-03-25 01:00:00,2023-03-25 12:59:59.999,1749.57000000,1762.43000000,1736.05000000,1745.25000000,150061.66280000,262616144.91032300,259570,75824.72640000,132695753.72214600,0,1679702400000,1679745599999
2023-03-24 13:00:00,2023-03-25 00:59:59.999,1789.51000000,1789.51000000,1726.40000000,1749.57000000,339776.68650000,595662902.60499600,511012,167760.08060000,294021231.48491000,0,1679659200000,1679702399999
2023-03-24 01:00:00,2023-03-24 12:59:59.999,1813.78000000,1818.99000000,1776.78000000,1789.52000000,224993.45520000,405883281.92713900,344588,115397.26880000,208200860.22533700,0,1679616000000,1679659199999
2023-03-23 13:00:00,2023-03-24 00:59:59.999,1754.79000000,1857.16000000,1741.33000000,1813.79000000,539172.90510000,975852183.79645100,764522,290278.43930000,525567363.04043900,0,1679572800000,1679615999999
2023-03-23 01:00:00,2023-03-23 12:59:59.999,1734.34000000,1759.00000000,1729.35000000,1754.80000000,192888.19790000,336347131.78105400,310191,98365.75170000,171539406.77252300,0,1679529600000,1679572799999
2023-03-22 13:00:00,2023-03-23 00:59:59.999,1785.26000000,1819.98000000,1710.12000000,1734.33000000,698789.26430000,1235972370.94620700,952126,340393.48430000,602514307.35307700,0,1679486400000,1679529599999
2023-03-22 01:00:00,2023-03-22 12:59:59.999,1801.23000000,1807.66000000,1778.02000000,1785.25000000,192498.33660000,345102329.26317300,333904,91919.24240000,164808370.71252200,0,1679443200000,1679486399999
2023-03-21 13:00:00,2023-03-22 00:59:59.999,1761.34000000,1835.00000000,1758.33000000,1801.23000000,502601.78540000,905896652.51333200,753347,271575.14470000,489653081.51555600,0,1679400000000,1679443199999
2023-03-21 01:00:00,2023-03-21 12:59:59.999,1732.77000000,1767.77000000,1717.01000000,1761.34000000,239746.71450000,418121911.69770300,412689,127819.10130000,222950600.74446900,0,1679356800000,1679399999999
2023-03-20 13:00:00,2023-03-21 00:59:59.999,1779.40000000,1782.54000000,1722.00000000,1732.78000000,340207.96610000,598001529.16856200,560025,174709.31230000,307116875.34658800,0,1679313600000,1679356799999
2023-03-20 01:00:00,2023-03-20 12:59:59.999,1780.67000000,1803.05000000,1736.57000000,1779.41000000,342640.15870000,607034917.78265900,523742,171522.15350000,303895730.82611700,0,1679270400000,1679313599999
2023-03-19 13:00:00,2023-03-20 00:59:59.999,1784.66000000,1841.36000000,1773.26000000,1780.68000000,381199.03350000,688080032.41538500,598045,194720.72420000,351436075.87838700,0,1679227200000,1679270399999
2023-03-19 01:00:00,2023-03-19 12:59:59.999,1758.84000000,1788.58000000,1757.92000000,1784.66000000,159932.85730000,283926229.16482400,321048,80309.45140000,142580291.38043200,0,1679184000000,1679227199999
2023-03-18 13:00:00,2023-03-19 00:59:59.999,1813.16000000,1841.00000000,1747.47000000,1758.84000000,378211.03280000,677073513.71855300,609912,183108.58570000,327869686.91098100,0,1679140800000,1679183999999
2023-03-18 01:00:00,2023-03-18 12:59:59.999,1789.26000000,1831.34000000,1767.13000000,1813.15000000,333403.69820000,603115845.70599600,505978,170023.38140000,307503339.29158400,0,1679097600000,1679140799999
2023-03-17 13:00:00,2023-03-18 00:59:59.999,1761.13000000,1800.00000000,1703.02000000,1789.27000000,443993.21900000,774224020.34696000,679386,234529.13970000,409353105.95307900,0,1679054400000,1679097599999
2023-03-17 01:00:00,2023-03-17 12:59:59.999,1673.73000000,1763.97000000,1662.65000000,1761.12000000,463535.06350000,795041176.10594500,613669,241726.35510000,414663790.61665500,0,1679011200000,1679054399999
2023-03-16 13:00:00,2023-03-17 00:59:59.999,1660.37000000,1691.42000000,1635.96000000,1673.73000000,319484.33640000,530877958.54744700,500568,165194.75380000,274529596.40863500,0,1678968000000,1679011199999
2023-03-16 01:00:00,2023-03-16 12:59:59.999,1649.95000000,1669.99000000,1632.18000000,1660.36000000,308501.27550000,509165282.59283800,503838,160066.44550000,264159990.02400000,0,1678924800000,1678967999999
2023-03-15 13:00:00,2023-03-16 00:59:59.999,1679.91000000,1698.29000000,1611.00000000,1649.96000000,633705.28360000,1044938642.87163100,908759,301017.34600000,496445886.74204600,0,1678881600000,1678924799999
2023-03-15 01:00:00,2023-03-15 12:59:59.999,1699.41000000,1716.90000000,1650.54000000,1679.92000000,329437.19970000,557522063.02406400,479625,162767.86390000,275524713.52735600,0,1678838400000,1678881599999
2023-03-14 13:00:00,2023-03-15 00:59:59.999,1683.65000000,1780.02000000,1659.29000000,1699.40000000,903908.61400000,1560733587.68097900,1161301,466772.83340000,805608903.73082200,0,1678795200000,1678838399999
2023-03-14 01:00:00,2023-03-14 12:59:59.999,1673.44000000,1695.00000000,1655.24000000,1683.65000000,379412.62150000,635000240.22914300,588734,199292.84780000,333590529.63276800,0,1678752000000,1678795199999
2023-03-13 13:00:00,2023-03-14 00:59:59.999,1581.07000000,1693.49000000,1572.54000000,1673.45000000,670093.12720000,1103265685.30370800,919177,347313.91370000,572018589.83593800,0,1678708800000,1678751999999
2023-03-13 01:00:00,2023-03-13 12:59:59.999,1580.33000000,1622.60000000,1565.00000000,1581.07000000,557970.47810000,889012199.49263300,752106,284072.39210000,452603984.53493200,0,1678665600000,1678708799999
2023-03-12 13:00:00,2023-03-13 00:59:59.999,1465.18000000,1594.19000000,1448.30000000,1580.33000000,709327.18310000,1077937892.69582500,909202,361341.76220000,549830934.23766000,0,1678622400000,1678665599999
2023-03-12 01:00:00,2023-03-12 12:59:59.999,1471.93000000,1475.05000000,1449.90000000,1465.17000000,293027.90980000,428901847.77382900,344697,146274.56590000,214107989.44538300,0,1678579200000,1678622399999
2023-03-11 13:00:00,2023-03-12 00:59:59.999,1427.10000000,1478.07000000,1422.32000000,1471.97000000,442487.98800000,639611867.57437100,503458,220046.53420000,318137301.11489900,0,1678536000000,1678579199999
2023-03-11 01:00:00,2023-03-11 12:59:59.999,1426.43000000,1476.00000000,1408.40000000,1427.10000000,932371.63210000,1348314984.77400300,963798,454008.61620000,656917387.39446200,0,1678492800000,1678535999999
2023-03-10 13:00:00,2023-03-11 00:59:59.999,1384.61000000,1439.43000000,1382.00000000,1426.44000000,486611.79710000,686991554.72428800,638595,242240.85030000,342004629.37857000,0,1678449600000,1678492799999
